Word,Type,Sense A Sentence 1,Sense A Sentence 2,Sense A Sentence 3,Sense B Sentence 1,Sense B Sentence 2,Sense B Sentence 3,Sense A Standardized,Sense B Standardized
Physician,Unambiguous,The ABoIM has established a time-limited window of opportunity for physicians who are qualified to sit for the ABoIM exam without a fellowship.,The bill mandates that any physician or health care provider who takes responsibility for a woman's prenatal care must test her for both HIV and syphilis,"Good initial contacts may be obtained from existing support groups, nursing homes, hospitals, family physicians , neurologists, counseling and home care services, Adult Day Care programs, and senior centers"," If you are a referring physician , please use the referral request form . ", Physician use of a basic electronic health record (EHRs or EMRs) has increased to just over half of all physicians in the United States (as of 2014; it was about 48% in 2013). ,Medical expert systems have evolved to provide physicians with both structured questions and structured responses within medical domains of specialised knowledge,The stoner became a physician in the end.,The patient sought a physician for medical advice.
Lamp,Unambiguous,"While cleaning the lamp he releases Twinky (Chase Young), a playful, cock-hungry Genie who grants Rod 3 sexual wishes. ","After the lamps were lit, Srutidharma chanted the first verse of Sri Isopanishad, beginning ""Om purnam adah purnam idam,""","Because replacement parts for a solar power system (such as batteries, lamps , modules, and converters) are not for sale in all hardware stores, the operation of a facility requires specialized preparation","They nearly finished their (hopefully) predator-proof coop, although their first home will be in our house in a halogen lamp heated, cat-proof dog kennel."," Our first experiments contain a LED Lamp , a resistor and a 9 Volt battery. ","Even with the head lamps , you couldn{t really see that far in front of you – maybe two feet.",The bachelor bought a new lamp for his apartment.,The mother turned on the lamp so he could read.
Oatmeal,Unambiguous," You can put oatmeal in your food processor or blender to grind it down to a power, making your very own flour substitute. ","Just rub some oatmeal into your scalp, then brush the remaining bits out with a bristle brush so you don't look like a walking breakfast cereal","Instead, grab a handful of oatmeal and let it sit on on the spill for a little while, soaking up all the mess. "," I had what I think is one of the best bargains at Disney - the oatmeal with apples, raisins and brown sugar, for $2.79. ","ou can also include it in your cereal, smoothies, yogurt, oatmeal , and many others. ",The other day Mom asked if I wanted some oatmeal with my cinnamon. ,The father ate oatmeal for breakfast every day.,The baby spilled oatmeal all over the rug.
Perfume,Unambiguous," With Annie Oakley curled up next to him, her head against his shoulder, smelling a mixture of shampoo and perfume he had never smelled before, he knew two things: that he wanted to know more about the creatures that lived in the oceans","you want to exchange your wedding vows in a wonderful setting with great panoramas and breathtaking views, an oasis of colors, perfumes , nature and peace."," The flowers are even scented, so when I opened the box, perfume filled the air.", I have tried many perfumes and just a few are my favorites. ," Every time I buy perfume , I get given tiny testers. ","In India, perfume and perfumery also existed in Indus civilization (3300 BCE - 1300 BCE). ",The young woman put on perfume before she went out.,They wore the same perfume for a short period.
Sidewalk,Unambiguous,"they often begin from a personal journey: where the sidewalk ends in front of your house, when you're forced to change modes of transportation.","Sam Rivers has just lit the oak-wood fire for the meat smoker, and smoke is pouring over the sidewalk into the rain. "," At one point though, she said, she did tell them her glasses had fallen to the sidewalk next to her, and announced she was going to reach over to retrieve them. "," From classrooms in Sacramento to buses in Denver to sidewalks here in the District of Columbia, this landmark legislation makes sure that Americans with disabilities are protected","The new restrictions ban residents from washing off driveways and sidewalks , and from watering landscapes or lawns in a way that causes ""excess runoff. ""","after a dispersal order had been read at another intersection, the crowd was ordered to move to the sidewalks , and as a friend and I crossed a crosswalk (with the light green, no less) Smith and friends saw their chance. ",The wanderer followed the sidewalk into town.,The workers laid the new sidewalk with concrete.
Headphones,Unambiguous,". My usual M.O. on the trans-Pacific crossing is to take a couple of sleeping pills, throw on headphones , cover my eyes and try to sleep as long as humanly possible.","Occurring in early January each year, the event showcases revolutionary gadgets from high-tech headphones to automotive electronics, and never fails to gain the support of high-profile technology stakeholders."," Following on from his recent reviews of the PreSonus HD7 headphones and AudioBox iTwo interface , in this article Paul takes a look at PreSonus' Studio One DAW (Digital Audio Workstation)"," She pulled off her headphones , and said, 'Do you want to hear some cool music? ' ",All Dre Beats Headphones Australia of us pupils team backside need educational boycott involving Israel Buenos aires ,"Whether it's the mural on your drive to work or the song lyric coming through your headphones , art has touched and changed all of us. ",The student took off his headphones before class started.,The boy bought the headphones when they came out.
Moth,Unambiguous, Corn earworm moth catches from reporting stations were low this week.,The name came to be when a moth flew into the Mark II, Black cutworm traps across Iowa have been capturing migrating moths for several weeks.," I toss suffering to be carried back by animals, the cabbage moth , the ordinary bee.","they enter their final growth stage, also called an instar, and spin silk cocoons to settle down for the metamorphosis into adult moths . ","The butterflies and moths there are fantastic, the food is delicious and the everyone is extremely welcoming! ",The boy swatted the moth away.,The girl killed the moth with her shoe.
Sunshine,Unambiguous,"Located at the base of the spectacular Rocky Mountains, Denver offers 300 days of annual sunshine , stimulating arts and culture, family friendly entertainment, and endless outdoor recreation opportunities,",". Sensei sprinted ahead to get the owner to keep the tea shop open for us and when we arrived, the tea, cake and blazing sunshine were waiting for us. "," Winter has reasserted herself, shaking off the Spring-like days of sunshine and pleasantness, becoming big and bad again.","So whilst we were debating and thinking inside, thousands of people outside were basking in beautiful spring sunshine ","he came to associate the good life in Hawaii with vivid patterns reminiscent of exotic plants, birds, marine life, sunshine , and ocean waves. ","he garden needs little attention from me, so the spiders are having a field day, basking in the lovely sunshine and collecting their tidbits to use the old fashioned term. ",The beachgoer felt the sunshine on her face.,The man hated the sunshine because it burned his skin.
Highway,Unambiguous,"Portions of northeastern Mexico suffered building roof and automobile damage, as well as the blockage of numerous highways by mud slides."," Located beneath a looping highway, the colorful design creates a welcome respite from the surrounding industrial district. ","The map canvass will display streets, highways , landuse, POIs, waterways, and many other geographic data.",The two NLG Legal Observers have been charged with obstruction of a highway and failure to obey a lawful order. ,Right now the three cane cutters could work building the highway between El Vado and Guayabal,"Blossoming meadows and natural surfaces far away from towns, highways and agriculture surfaces are suitable for the collecting of the plants.",The family took the highway all the way north for vacation.,The state built the highway to connect the two towns.
Rectangle,Unambiguous,"coordinates are defined such that the ""primary"" area of a stripe (otherwise known as a stave ) in the north is defined by a rectangle in Survey coordinates which is 2.5 degrees wide in η (coordinate width).", Figure 6 is a three-part problem that requires students to develop a formula for a rectangle using the area formula for a square.," The meaning of ""3 feet perpendicular to all points on the bottom step tread outer edge"" is to define a rectangle on the ground outside the vehicle door which is three feet deep and as wide as the door lower step. ","For area sampling, two rectangles (100 × 25 pixels; separation, 50 pixels) were positioned on both sides of the demarcation line; ", Roll out and cut into rectangle (approx. 6cm X 4cm). 3) ,"It maps through all detected faces, creates a green rectangle for every face and draws that onto the image. ",The student draws a rectangle on the page.,The birds forme a rectangle in the sky.
Toaster,Unambiguous, I even have a toaster and I love toast!,"If you buy a wasching machine, a dryer, a toaster etc. you know what is inside and that you can easily reuse or resell it.",The main stage PA system is solar powered and the entire kit consumes less energy than an electric toaster – and the same for the Music Café electricity. ,"Oh, I'm sure we put out the leavened products, cleaned out the toaster , remembered to empty all the vacuum cleaner bags, and even cleaned out the cars and garage and got it all off-premises",a toaster would be more useful though ,he refused to clean a sandwich toaster in the dining area. ,The family uses the toaster every morning.,The chef unplugged the toaster carefully.
Earring,Unambiguous,A pair of three-tier aquamarine and diamond earrings would match well,"It really was a surprise, gold leverback earrings , because he had been told that he couldn't have it. ", A traditional pair of earrings can have ten or more pieces that dangle off the bottom of the earring's base.,"In Kyrgyz courting tradition, men give women a pair of earrings as a token of their love."," Wear earrings , necklaces and other points of interest created to draw your eyes up towards shoulders and face. ", The Ubuntu earrings from Boutique Academia are quite popular! ,The girl loves the earrings that she made.,The grandmother buys the earrings as a gift.
Lawyer,Unambiguous,Ask one of our lawyers with expertise., The state's poor venue requirements allow trial lawyers to seek out judges – forum shop – known for awarding large settlements to plaintiffs (trial lawyers' clients). ,". According to a baseline survey and needs assessment report (2004) by DANIDA, the ratio of lawyers to people in Uganda is 1:12,000 people and yet this number also includes the non-practicing lawyers."," According to a case summary by the agent's own lawyer , Ransome had decided that Gell was guilty early on, despite having statements from 17 independent witnesses",it was made possible by some brilliant people at OSF who thought that it was important to recognize and connect lawyers who are advocating for the rights of marginalized groups and are part of social change movements all over the world., The third panellist was an incredible lawyer from the Legal Assistance Centre in Namibia who spoke about the harms caused by the Namibian prostitution laws ,The witness called his lawyer for advice.,The company hired twelve lawyers this year.
Photo,Unambiguous,"Lewis from IDE-UK has just come back from visiting the Wolmere and Ejere districts of Ethiopia where he took these photos (unfortunately, it's the wrong time of year to see shiny red apples on the trees). ","A lot was written, during that time, plus a great deal of swimming in translucent waters, like those depicted in the adjacent photo , was done. "," In this photo , Allen Tremaine holds the hand of his new wife, Julie. They met at the Oregon City Chapter"," While a human might be able to match data that way, photos can't be used by software programs to merge large amounts of data. ", This method for studying wildlife has virtually no effect on animals and the photos these cameras capture tell us what animals are found where and in what densities.," When you are browsing the site you will find DIY projects, blog posts, a beautiful photo gallery, steps that you can take to take better care of our Earth, and a list of upcoming events. ",The student took one photo every day.,The shop printed the photos for the old woman.
Ocean,Unambiguous," ""The federal government should jump in the ocean on education. Education is a state issue. "" ", Come experience some of the ocean's most colorful creatures up close at the Tropical Reef dive show!,. A brief Q & A session at the end of the demonstration will give you the opportunity to get your questions answered by our ocean experts. ,"In this role, she worked with Oceana on its seafood fraud campaign, gaining expertise in ocean and fisheries issues. ",The oceans are part of a system with a large number of interlocking components involved in an elaborate balancing act. ,Our oceans are home to millions of species. ,The sailors sailed the ocean for one year.,The human population has polluted the oceans massively.
Vine,Unambiguous,"Belles Heures shown above, a man cultivates the soil around the vines with a mattock , while another man fertilizes the vines with manure; ",the dung applied around each vine stands out clearly from the ground.,"""And in the earth are tracts (diverse though) neighboring and gardens of vines and fields sown with corn and palm trees growing out of single roots or otherwise: watered with the same water ",We shall dwell under our vine and fig tree in peace. ,"This native parasitic vine finds the perfect partner, any scrubby host such as oak or scrubby shrubs, and attaches its squid-like suckers","Spotting a thorny vine rooted on a rock, he swung himself down over the chasm. ",The monkey climbed the vine to the top.,The gardener pulled the vines from the face of the house.
Eggplant,Unambiguous,"We grow tomatoes, melons, peppers, eggplants and sundry other crops in seasonal high tunnels that are rotated annually. ",". It wasn't until years later, in a cozy Italian restaurant where eggplant was done right, did I give this humble vegetable another chance and come to appreciate the virtues of this purple beauty","Tomatoes, peppers, potatoes and eggplant are commonly called nightshades. "," Good news because eggplant , and all the nightshades, provide a host of health benefits. ","There are a variety of eggplants, from the long, thin Japanese and Chinese to the round, white and purple","Avoid eggplants that appear withered, bruised, or discolored.",The chef cooked the eggplant in the pan.,The farmer grew eggplant every year.
Opinion,Unambiguous,"Such problems may be related to grades, difference of opinion with instructors, interpretation of University policies, or other administrative issues. ", Advisory opinions usually address questions that require clarification of the law. ," In her opinion , a statement of values is a necessary precondition to establishing an authentic DH community. ",Mr. Mordue expressed his opinion that the enlargement criteria should be revised and updated, under no circumstances can it be assumed that this document reflects the official opinion of the Financial Mechanism of the European Economic area and the Operator of Programme for support of NGOs in Bulgaria.,"However, in 2002 a public transit Web site became the occasion for the first known reported Federal Court opinion on the applicability of Title II of the ADA to the Internet. ",The critic voiced his opinion confidently.,The judge wrote the opinion for the dissenting side.
Nation,Unambiguous," the first European settlement in the United States carried 800 colonists and supplies to the nation's oldest city in 1565, making St. Augustine's bay America's oldest seaport.",". Through the Call to Arts, more than 160,000 SAG-AFTRA members and 250 elected leaders in 25 localities across the nation are being asked to pledge to mentor aspiring creative artists during the next three years.",they were at the mercy of an organization of homicidal maniacs whose purpose was to destroy all traces of civilization and carry the nation back to barbarism. ,all these invasions were to come from a nation that was shattered as few nations in history have been; a nation still recovering from a horrendous world war; in extreme chaos,"As you know, on July 14, 2015, the United States and five other nations announced that a Joint Comprehensive Plan of Action (JCPOA) has been reached with Iran to prevent it from developing nuclear weapons",We have found no indications that such requirements as applied in any of the European or in several Asian nations have resulted in difficulty or disruption. ,The politician served his nation proudly.,The fashion trend swept the nation by storm.
University,Unambiguous,he practiced labor and employment law in the Minneapolis office of FordHarrison until joining the University as Director in August 2014. ,"Qualified, supervised student personnel provide the escort service Monday through Friday while the University is in session, from 8 a.m. to midnight. ",Prospective students are urged to submit their housing contract as soon as they are accepted to the University with a priority deadline of May 1st. , He holds a Bachelor of Science Degree in Civil Engineering from the University,"Bates ( 2009 ) wrote that although the 'backbone infrastructure for Internet access across Saudi Arabia and in the university is quite good', some universities still lack wireless access.","a public educational institution exempt from federal taxation under 26 U.S.C. 115, such as a school, college or university , may sponsor appearances by candidates, candidates' representatives or representatives of political parties",The president closed the university during the pandemic.,The student loved the university dearly.
Beer,Unambiguous," And if you are in the mood for craft beer – Denver is one of America's top beer cities by USA Today,", I can't drink beer fast enough for either.,". SABMiller, one of the world's largest brewers, has pioneered Impala, the first beer made from cassava, a tough, drought-resistant root grown across Africa that boosts local economies.", The beer will be tapped at a special opening ceremony at El Bait Shop at 1 p.m. on June 14.,"Alternatively, tea, coffee or beer are available from the bar. ","After negotiating security, check-in, 2 surveys, and emigration we sat down for quick and well-deserved beer in front of the only (and small) air conditioner.",The boys drank the beers quickly.,The man ordered a beer at the bar.
Goggles,Unambiguous,"They are completing a four day annual combat readiness course that also includes nighttime patrols, use of night vision goggles and a reconnaisance patrol to provide them the ground combat skills they need to maintain their readiness","Dr Korkor was assessed in a hermetically sealed unit where patients are treated by medics in boiler suits, goggles and masks. ","Kids must be prepared to bring a bike in good working condition, a cycling helmet, swim wear, goggles and run shoes. ",He wore antique goggles and she wore a fashionable scarf. A,"In addition to the explosion in the use of masks and goggles , there has also been a significant increase in the use of black bloc attire by other militants", HoloLens is a set of goggles with a built-in computer which places holograms directly in your environment. ,The swimmer put on the goggles before jumping in.,The pilot cleaned his goggles with his rag.
Scarf,Unambiguous,"On the flip side, if you are not prepared with a helmet that can comfortably accommodate a hat, scarf or neck protection and warm gloves it can be the worst decision of your day hop on the bike in the morning.","If that's too extreme for you, try wearing a peacock item like a hat, a scarf or a loud shirt – all of which are great conversation starters. ","I don't think Philip Marlowe, I think of Philip Whalen with a pilot's silk scarf tied around his neck. "," On the flip side, if you are not prepared with a helmet that can comfortably accommodate a hat, scarf or neck protection and warm gloves it can be the worst decision of your day hop on the bike in the morning. ",Spearman asserts that it should feel like wrapping a silk scarf across the chest.,Snaps at both ends of the scarf help with numerous styling possibilities.,The woman wore the blue scarf elegantly.,The businessman bought the scarf for the winter.
